feature,mean_abs_shap
dx_dementia,0.21938781
n_comorbidities,0.21413092
age_at_obs,0.18090491
los_days,0.17053959
prior_days_since_last_fall,0.13363224
need_wound_active,0.09907908
need_nutrition_active,0.06304735
charlson_score,0.061401248
dx_malnutrition,0.058110807
dx_stroke,0.046997655
dx_chf,0.045083165
vital_resp_mean_30d,0.03862049
dx_osteoporosis,0.038589995
vital_o2_std_30d,0.038256217
med_n_unique_drugs_30d,0.036977235
vital_pain_std_30d,0.03455211
dx_pressure_ulcer,0.033324283
dx_afib,0.033023413
vital_pain_max_30d,0.031294204
vital_temp_mean_30d,0.027503239
vital_pain_mean_30d,0.027402991
is_outpatient,0.026958106
prior_rth_days_since_last,0.026185209
vital_o2_mean_30d,0.023269253
vital_bp_sys_cv_30d,0.02205156
med_is_psychotropic_mean_30d,0.021688502
vital_pain_std_7d,0.020213295
dx_ckd,0.019738128
vital_temp_mean_7d,0.019649122
vital_glucose_std_30d,0.018590854
vital_bp_sys_max_30d,0.018541029
dx_diabetes_cc,0.018409494
vital_bp_sys_min_30d,0.017520573
dx_obesity,0.017473456
dx_anxiety,0.016475644
vital_weight_max_30d,0.016326895
need_fall_active,0.015523677
vital_bp_sys_mean_30d,0.014612616
vital_pulse_mean_30d,0.014264105
dx_depression,0.013543717
med_is_diuretic_sum_30d,0.013330677
vital_pulse_std_30d,0.012077428
dx_hypertension,0.011646189
dx_pneumonia,0.011626248
vital_resp_std_7d,0.011621755
vital_glucose_std_7d,0.011580703
dx_cancer,0.01093025
vital_bp_sys_std_30d,0.010755476
tag_total_highrisk_30d,0.010444956
vital_o2_max_30d,0.010409844
vital_glucose_min_30d,0.010106722
vital_resp_mean_7d,0.009863391
vital_resp_max_30d,0.009685106
vital_temp_min_30d,0.009330743
vital_pain_max_7d,0.00922375
vital_glucose_mean_30d,0.009069069
dx_hemi_paraplegia,0.008975903
vital_resp_min_7d,0.008729797
dx_anemia,0.008726642
adl_locomotion_value_mean_90d,0.008697224
vital_pain_min_30d,0.008260033
vital_glucose_max_30d,0.0082318
vital_pain_mean_7d,0.007956039
vital_resp_std_30d,0.007823676
vital_resp_max_7d,0.007783863
dx_copd,0.007102765
vital_pulse_max_30d,0.0070243296
vital_pulse_min_30d,0.006926611
vital_o2_mean_7d,0.006749225
dx_parkinsons,0.0064296806
vital_bp_sys_std_7d,0.0064197383
vital_o2_max_7d,0.006150638
vital_o2_min_30d,0.0060523986
vital_temp_std_30d,0.00579841
vital_pulse_mean_7d,0.0055296975
vital_pulse_std_7d,0.005489846
vital_temp_max_30d,0.005409647
vital_o2_std_7d,0.005002628
med_is_diuretic_sum_7d,0.004868682
vital_pulse_min_7d,0.0047998703
vital_weight_mean_30d,0.0047363746
vital_pulse_max_7d,0.0045812493
dx_pvd,0.0043795845
vital_weight_std_7d,0.004246715
vital_weight_min_30d,0.0042326655
vital_bp_sys_mean_7d,0.0041233213
med_is_diuretic_mean_30d,0.0041169417
med_is_opioid_sum_30d,0.0038074704
vital_weight_max_7d,0.0037161214
med_is_psychotropic_sum_30d,0.003429034
adl_walking_value_std_30d,0.0033758017
vital_glucose_min_7d,0.0033178164
vital_pain_min_7d,0.0032803658
vital_temp_std_7d,0.0032107036
vital_temp_min_7d,0.0031904322
med_is_psychotropic_mean_7d,0.0031882848
vital_weight_std_30d,0.0028984607
med_is_diuretic_mean_7d,0.0028593843
vital_bp_sys_min_7d,0.0027696237
med_is_late_mean_30d,0.0027596066
dx_diabetes_comp,0.0024703434
adl_locomotion_value_mean_7d,0.0024522408
adl_walking_value_mean_30d,0.0023995044
med_is_missed_mean_7d,0.0022452532
dx_uti,0.0022007942
vital_temp_max_7d,0.0021251962
med_is_opioid_mean_30d,0.0021225866
med_is_late_mean_7d,0.0020241472
vital_glucose_max_7d,0.0020189774
med_is_psychotropic_sum_7d,0.0019505742
med_is_missed_mean_30d,0.0018303113
vital_bp_sys_max_7d,0.0016555187
adl_eating_value_std_90d,0.001593928
adl_locomotion_value_std_7d,0.0015441938
adl_locomotion_value_std_30d,0.0014249894
gg_walk_50_feet_with_two_turns_value_mean_30d,0.0013758625
adl_transfer_value_mean_90d,0.0012359312
adl_eating_value_std_30d,0.0011679019
prior_last_fall_had_injury,0.0011309722
vital_resp_min_30d,0.0010928052
gg_sit_to_stand_value_mean_30d,0.0009952594
med_is_late_sum_30d,0.0009030317
vital_o2_min_7d,0.0008649607
vital_glucose_mean_7d,0.0008268758
gg_lying_to_sitting_on_side_of_bed_value_mean_7d,0.0007642408
therapy_pt_active,0.00064541836
gg_walk_150_feet_value_mean_7d,0.000633474
gg_sit_to_stand_value_mean_7d,0.00054960354
vital_weight_min_7d,0.00017089976
gg_chair_bed_to_chair_transfer_value_mean_30d,0.0
gg_selfcare_value_mean_7d,0.0
adl_locomotion_value_std_90d,0.0
adl_locomotion_value_mean_30d,0.0
adl_walking_value_std_7d,0.0
adl_walking_value_mean_7d,0.0
adl_walking_value_mean_90d,0.0
adl_walking_value_std_90d,0.0
adl_total_value_mean_7d,0.0
adl_total_value_std_7d,0.0
adl_total_value_mean_30d,0.0
gg_walk_150_feet_value_mean_30d,0.0
adl_toilet_use_value_std_7d,0.0
adl_toilet_use_value_mean_7d,0.0
adl_toilet_use_value_mean_90d,0.0
adl_toilet_use_value_std_90d,0.0
adl_transfer_value_std_30d,0.0
adl_transfer_value_std_90d,0.0
adl_transfer_value_mean_30d,0.0
adl_toilet_use_value_std_30d,0.0
adl_toilet_use_value_mean_30d,0.0
adl_personal_hygiene_value_std_7d,0.0
adl_personal_hygiene_value_mean_30d,0.0
adl_personal_hygiene_value_std_30d,0.0
adl_personal_hygiene_value_mean_90d,0.0
adl_personal_hygiene_value_std_90d,0.0
adl_bed_mobility_value_mean_7d,0.0
adl_bed_mobility_value_std_7d,0.0
dx_sepsis,0.0
dx_liver_severe,0.0
dx_mi,0.0
adl_eating_value_mean_7d,0.0
adl_eating_value_std_7d,0.0
dx_liver_mild,0.0
adl_eating_value_mean_30d,0.0
adl_eating_value_mean_90d,0.0
adl_personal_hygiene_value_mean_7d,0.0
adl_bed_mobility_value_std_30d,0.0
adl_bed_mobility_value_mean_90d,0.0
adl_bed_mobility_value_std_90d,0.0
adl_transfer_value_mean_7d,0.0
adl_transfer_value_std_7d,0.0
adl_bed_mobility_value_mean_30d,0.0
adl_total_value_std_30d,0.0
adl_total_value_mean_90d,0.0
adl_total_value_std_90d,0.0
adl_trend_7v30,0.0
gg_mobility_value_mean_7d,0.0
gg_mobility_value_std_7d,0.0
gg_mobility_value_mean_30d,0.0
gg_chair_bed_to_chair_transfer_value_mean_7d,0.0
gg_selfcare_value_std_30d,0.0
gg_selfcare_value_std_7d,0.0
gg_selfcare_value_mean_30d,0.0
gg_walk_50_feet_with_two_turns_value_mean_7d,0.0
gg_lying_to_sitting_on_side_of_bed_value_mean_30d,0.0
gg_mobility_value_std_30d,0.0
flag_bradycardia,0.0
flag_bp_low,0.0
flag_bp_high,0.0
flag_tachycardia,0.0
flag_fever,0.0
flag_pain_high,0.0
flag_o2_low,0.0
vital_weight_mean_7d,0.0
flag_hypoglycemia,0.0
med_is_refused_sum_7d,0.0
med_is_late_sum_7d,0.0
med_is_missed_sum_7d,0.0
med_is_anticoagulant_sum_7d,0.0
med_is_opioid_sum_7d,0.0
vital_weight_pct_change_30d,0.0
med_is_anticoagulant_mean_30d,0.0
med_n_doses_sum_30d,0.0
med_is_refused_sum_30d,0.0
med_is_missed_sum_30d,0.0
med_is_anticoagulant_sum_30d,0.0
med_n_doses_mean_7d,0.0
med_is_opioid_mean_7d,0.0
med_n_doses_sum_7d,0.0
med_is_refused_mean_7d,0.0
med_is_anticoagulant_mean_7d,0.0
tag_wound_infection_symptoms_n_sum_30d,0.0
tag_skin_wound_assessment_n_sum_30d,0.0
tag_wound_care_n_sum_30d,0.0
tag_fall_n_sum_30d,0.0
med_polypharmacy_flag,0.0
med_miss_rate_30d,0.0
med_n_doses_mean_30d,0.0
med_is_refused_mean_30d,0.0
tag_pain_intervention_n_sum_30d,0.0
tag_uti_symptoms_n_sum_30d,0.0
tag_aggressive_behavior_n_sum_30d,0.0
tag_antibiotic_therapy_n_sum_30d,0.0
tag_nutrition_plan_n_sum_30d,0.0
tag_physician_notification_n_sum_30d,0.0
tag_refusal_n_sum_30d,0.0
tag_weight_progress_note_n_sum_30d,0.0
prior_fall_n_sum_30d,0.0
lab_n_lab_sum_30d,0.0
lab_is_critical_sum_30d,0.0
lab_is_abnormal_sum_30d,0.0
tag_family_responsible_n_sum_30d,0.0
tag_monitor_side_effects_n_sum_30d,0.0
tag_pain_progress_note_n_sum_30d,0.0
prior_fall_n_sum_90d,0.0
prior_rth_n_sum_30d,0.0
prior_altercation_n_sum_90d,0.0
prior_wound_n_sum_90d,0.0
prior_altercation_n_sum_30d,0.0
prior_wound_n_sum_30d,0.0
prior_rth_n_sum_90d,0.0
prior_rth_ever,0.0
therapy_ot_active,0.0
